dealer_id,city,make,dealer_name,dealer_address,details_url,img_url,local_img_url,title,type,price,miles,engine_details,transmission,mileage,vin,stock,star,created_at
24013100,austin-tx,acura,South Point Dodge Chrysler Jeep Ram,"Austin, TX

   
(4.80 miles)",https://driverbase.com/vehicle/21641942/2022-acura-rdx-in-austin-tx/5J8TC1H63NL006255,https://cdn.getauto.com/photos/9/237439/1c/5J8TC1H63NL006255-1c.jpg,austin_tx_acura/2022_ACURA_RDX_w_A-SPEC5J8TC1H63NL006255006255U.jpg,2022 ACURA RDX w/A-SPEC,Preowned,33084,"44,622", 2.0L 2.0L Turbo I4 272hp 280ft. lbs. Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H63NL006255,006255U,4,2024-01-31 16:54:14.377779
24013101,austin-tx,acura,Covert Chrysler Dodge Jeep Ram,"Austin, TX

    
(6.28 miles)",https://driverbase.com/vehicle/22026830/2020-acura-rdx-in-austin-tx/5J8TC1H58LL001525,https://content.homenetiol.com/2002457/2170371/640x480/2bd456a7cfbb4f45861829d0d8b32328.jpg,austin_tx_acura/2020_ACURA_RDX_w_Technology_Pkg5J8TC1H58LL001525P04042A.jpg,2020 ACURA RDX w/Technology Pkg,Preowned,29823,"30,815", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 28",5J8TC1H58LL001525,P04042A,5,2024-01-31 16:54:30.659164
24013101,austin-tx,acura,Henna Chevrolet,"Austin, TX

    
(6.42 miles)",https://driverbase.com/vehicle/22428449/2020-acura-rdx-in-austin-tx/5J8TC2H62LL026838,https://cdn.getauto.com/photos/3/228943/1c/5J8TC2H62LL026838-1c.jpg,austin_tx_acura/2020_ACURA_RDX_SH-AWD_w_A-SPEC5J8TC2H62LL026838LL026838.jpg,2020 ACURA RDX SH-AWD w/A-SPEC,Preowned,32500,"39,729", 2.0L 4 Cylinders, 10-Speed Shiftable Automatic  AWD," MPG: City 21, Highway: 26",5J8TC2H62LL026838,LL026838,5,2024-01-31 16:54:42.352686
24013101,austin-tx,acura,Covert Ford Inc.,"Austin, TX

    
(10.70 miles)",https://driverbase.com/vehicle/22171810/2023-acura-mdx-in-austin-tx/5J8YE1H05PL020351,https://content.homenetiol.com/2002457/2170371/640x480/230fd3af83d644bfa6109f693554a5c4.jpg,austin_tx_acura/2023_ACURA_MDX_with_A-Spec_Package5J8YE1H05PL0203512232675A.jpg,2023 ACURA MDX with A-Spec Package,Preowned,54458,"3,705", 3.5 L 6 Cylinders, Automatic  AWD," MPG: City 19, Highway: 25",5J8YE1H05PL020351,2232675A,5,2024-01-31 16:54:54.502229
24013101,austin-tx,acura,Covert Ford Hutto,"Hutto, TX

    
(23.05 miles)",https://driverbase.com/vehicle/22178027/2023-acura-rdx-in-hutto-tx/5J8TC1H5XPL001080,https://content.homenetiol.com/2002457/2170371/640x480/fed541bf464842c7a63d1b80b265ca23.jpg,austin_tx_acura/2023_ACURA_RDX_Technology_Package5J8TC1H5XPL001080F240016A.jpg,2023 ACURA RDX Technology Package,Preowned,36211,"16,499", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 28",5J8TC1H5XPL001080,F240016A,5,2024-01-31 16:55:08.473671
24013100,austin-tx,acura,Covert Ford Hutto,"Hutto, TX

    
(23.05 miles)",https://driverbase.com/vehicle/22297462/2020-acura-mdx-in-hutto-tx/5J8YD3H51LL009156,https://content.homenetiol.com/2002457/2170371/640x480/725373f7213047f898e75dcdc3bbe91f.jpg,austin_tx_acura/2020_ACURA_MDX_Technology5J8YD3H51LL009156FM4202A.jpg,2020 ACURA MDX Technology,Preowned,30998,"45,444", 3.5 L 6 Cylinders, Automatic  FWD," MPG: City 20, Highway: 27",5J8YD3H51LL009156,FM4202A,5,2024-01-31 16:55:20.302556
24013101,austin-tx,acura,Bluebonnet Ford,"New Braunfels, TX

    
(46.23 miles)",https://driverbase.com/vehicle/21878126/2019-acura-rdx-in-new-braunfels-tx/5J8TC2H54KL009965,https://content.homenetiol.com/2002457/2170371/640x480/b2414e2e924443bc9f8a6374fe1a3742.jpg,austin_tx_acura/2019_ACURA_RDX_with_Technology_Pkg5J8TC2H54KL009965UL009965.jpg,2019 ACURA RDX with Technology Pkg,Certified Preowned,24795,"86,529", 2.0 Liter 4 Cylinders, Automatic  AWD," MPG: City 21, Highway: 27",5J8TC2H54KL009965,UL009965,5,2024-01-31 16:55:32.057098
24013101,austin-tx,acura,Gunn Buick GMC,"Selma, TX

    
(58.12 miles)",https://driverbase.com/vehicle/22177647/2017-acura-rdx-in-selma-tx/5J8TB3H37HL002430,https://content.homenetiol.com/2002457/2170371/640x480/2143020a3625425ab57d29d47caeb5b2.jpg,austin_tx_acura/2017_ACURA_RDX_5J8TB3H37HL002430GC1052A.jpg,2017 ACURA RDX ,Preowned,19441,"79,689", 3.5L 6 Cylinders, Automatic  FWD," MPG: City 20, Highway: 28",5J8TB3H37HL002430,GC1052A,5,2024-01-31 16:55:43.916866
24013101,austin-tx,acura,Audi North Park,"Selma, TX

    
(58.90 miles)",https://driverbase.com/vehicle/22325795/2019-acura-mdx-in-selma-tx/5J8YD3H36KL012356,https://content.homenetiol.com/2002457/2170371/640x480/16f62a4825584ea09a7da47ee091e253.jpg,austin_tx_acura/2019_ACURA_MDX_BASE5J8YD3H36KL012356UL012356.jpg,2019 ACURA MDX BASE,Preowned,26995,"65,615", 3.5 L 6 Cylinders, Automatic  FWD," MPG: City 20, Highway: 27",5J8YD3H36KL012356,UL012356,5,2024-01-31 16:55:56.078003
24013101,austin-tx,acura,North Park Lexus at Dominion,"San Antonio, TX

    
(69.01 miles)",https://driverbase.com/vehicle/22180490/2022-acura-mdx-in-san-antonio-tx/5J8YE1H05NL037275,https://content.homenetiol.com/2002457/2170371/640x480/c62812d94694491d87b2148ef20f1c7e.jpg,austin_tx_acura/2022_ACURA_MDX_w_A-Spec_Package5J8YE1H05NL037275UDL037275.jpg,2022 ACURA MDX w/A-Spec Package,Preowned,44995,"29,820", 3.5 L 6 Cylinders, Automatic  AWD," MPG: City 19, Highway: 25",5J8YE1H05NL037275,UDL037275,5,2024-01-31 16:56:09.696283
24013101,austin-tx,acura,Mercedes-Benz of San Antonio,"San Antonio, TX

    
(69.04 miles)",https://driverbase.com/vehicle/22043656/2017-acura-rdx-in-san-antonio-tx/5J8TB3H54HL021244,https://content.homenetiol.com/2002457/2170371/640x480/081fc59d688f4e90950883e94c027e8d.jpg,austin_tx_acura/2017_ACURA_RDX_w_Technology_Pkg5J8TB3H54HL0212442146A.jpg,2017 ACURA RDX w/Technology Pkg,Preowned,19557,"84,966", 3.5 L 6 Cylinders, Automatic  FWD," MPG: City 20, Highway: 28",5J8TB3H54HL021244,2146A,5,2024-01-31 16:56:21.569020
24013100,austin-tx,acura,Mercedes-Benz of San Antonio,"San Antonio, TX

    
(69.04 miles)",https://driverbase.com/vehicle/22093726/2020-acura-tlx-in-san-antonio-tx/19UUB1F58LA015561,https://content.homenetiol.com/2002457/2170371/640x480/1cfb214c372a4949a7738e725d376cda.jpg,austin_tx_acura/2020_ACURA_TLX_w_Technology_Pkg19UUB1F58LA015561167910A.jpg,2020 ACURA TLX w/Technology Pkg,Preowned,23771,"49,528", 2.4 lL 4 Cylinders, automatic  fwd," MPG: City 23, Highway: 33",19UUB1F58LA015561,167910A,5,2024-01-31 16:56:33.474141
24013101,austin-tx,acura,Audi Dominion,"San Antonio, TX

    
(69.08 miles)",https://driverbase.com/vehicle/21585793/2023-acura-integra-in-san-antonio-tx/19UDE4H2XPA016809,https://cdn.getauto.com/photos/0/241550/1c/19UDE4H2XPA016809-1c.jpg,austin_tx_acura/2023_ACURA_Integra_Base19UDE4H2XPA016809PA016809.jpg,2023 ACURA Integra Base,Preowned,29991,"6,260", 1.5L 4 Cylinders, CVT  FWD," MPG: City 37, Highway: 30",19UDE4H2XPA016809,PA016809,5,2024-01-31 16:56:45.250313
24013100,austin-tx,acura,Audi Dominion,"San Antonio, TX

    
(69.08 miles)",https://driverbase.com/vehicle/21976566/2021-acura-rdx-in-san-antonio-tx/5J8TC1H64ML009258,https://cdn.getauto.com/photos/0/241550/1c/5J8TC1H64ML009258-1c.jpg,austin_tx_acura/2021_ACURA_RDX_A-Spec_Package5J8TC1H64ML009258ML009258.jpg,2021 ACURA RDX A-Spec Package,Preowned,34911,"37,885", 2.0L 4 Cylinders, 10-Speed Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H64ML009258,ML009258,5,2024-01-31 16:56:59.512294
24013100,austin-tx,acura,Audi Dominion,"San Antonio, TX

    
(69.08 miles)",https://driverbase.com/vehicle/22428319/2020-acura-ilx-in-san-antonio-tx/19UDE2F39LA012664,https://cdn.getauto.com/photos/0/241550/1c/19UDE2F39LA012664-1c.jpg,austin_tx_acura/2020_ACURA_ILX_Base19UDE2F39LA012664LA012664.jpg,2020 ACURA ILX Base,Preowned,24881,"20,982", 2.4L 4 Cylinders, 8-Speed Dual-Clutch  FWD," MPG: City 24, Highway: 34",19UDE2F39LA012664,LA012664,5,2024-01-31 16:57:16.400147
