dealer_id,city,make,dealer_name,dealer_address,details_url,img_url,local_img_url,title,type,price,miles,engine_details,transmission,mileage,vin,stock,star,created_at
24013100,fort-worth-tx,acura,Freeman Toyota,"Hurst, TX

    
(8.07 miles)",https://driverbase.com/vehicle/22044742/2020-acura-ilx-in-hurst-tx/19UDE2F79LA005278,https://content.homenetiol.com/2002457/2170371/640x480/9307056c75c1468ba01e5d556be48855.jpg,fort_worth_tx_acura/2020_ACURA_ILX_w_Premium_Pkg19UDE2F79LA005278LA005278.jpg,2020 ACURA ILX w/Premium Pkg,Preowned,21288,"67,742", 2.4 lL 4 Cylinders, automatic  fwd," MPG: City 24, Highway: 34",19UDE2F79LA005278,LA005278,5,2024-01-31 16:37:04.625272
24013101,fort-worth-tx,acura,Classic Chevrolet,"Grapevine, TX

    
(16.74 miles)",https://driverbase.com/vehicle/22162682/2020-acura-rdx-in-grapevine-tx/5J8TC1H39LL022009,https://cdn.getauto.com/photos/0/17300/1c/5J8TC1H39LL022009-1c.jpg,fort_worth_tx_acura/2020_ACURA_RDX_Base5J8TC1H39LL022009LL022009.jpg,2020 ACURA RDX Base,Preowned,29000,"24,210", 2.0L 4 Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City 22, Highway: 28",5J8TC1H39LL022009,LL022009,5,2024-01-31 16:37:17.796940
24013100,fort-worth-tx,acura,Classic Chevrolet,"Grapevine, TX

    
(16.74 miles)",https://driverbase.com/vehicle/22301520/2018-acura-rdx-in-grapevine-tx/5J8TB3H37JL011439,https://cdn.getauto.com/photos/0/17300/1c/5J8TB3H37JL011439-1c.jpg,fort_worth_tx_acura/2018_ACURA_RDX_Base5J8TB3H37JL011439JL011439.jpg,2018 ACURA RDX Base,Preowned,20000,"67,280", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 28",5J8TB3H37JL011439,JL011439,5,2024-01-31 16:37:29.559125
24013100,fort-worth-tx,acura,Classic Chevrolet,"Grapevine, TX

    
(16.74 miles)",https://driverbase.com/vehicle/21871513/2017-acura-rlx-in-grapevine-tx/JH4KC1F58HC000877,https://cdn.getauto.com/photos/0/17300/1c/JH4KC1F58HC000877-1c.jpg,fort_worth_tx_acura/2017_ACURA_RLX_w_TechJH4KC1F58HC000877HC000877.jpg,2017 ACURA RLX w/Tech,Preowned,27000,"30,583", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 30",JH4KC1F58HC000877,HC000877,5,2024-01-31 16:37:42.682423
24013101,fort-worth-tx,acura,Freeman Hyundai Mazda Service,"Irving, TX

   
(24.69 miles)",https://driverbase.com/vehicle/22025390/2022-acura-rdx-in-irving-tx/5J8TC1H63NL005252,https://content.homenetiol.com/2002457/2170371/640x480/4bc1aabaa1a5492f83c4f704e885ed80.jpg,fort_worth_tx_acura/2022_ACURA_RDX_w_A-Spec_Package5J8TC1H63NL005252NL005252A.jpg,2022 ACURA RDX w/A-Spec Package,Preowned,37950,"24,884", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H63NL005252,NL005252A,4,2024-01-31 16:37:54.331610
24013100,fort-worth-tx,acura,Freeman Hyundai Mazda Service,"Irving, TX

   
(24.69 miles)",https://driverbase.com/vehicle/21994429/2015-acura-ilx-in-irving-tx/19VDE1F59FE006352,https://content.homenetiol.com/2002457/2170371/640x480/87de912bdf4d4264980797350236bb37.jpg,fort_worth_tx_acura/2015_ACURA_ILX_Premium_Pkg19VDE1F59FE006352FE006352A.jpg,2015 ACURA ILX Premium Pkg,Preowned,14700,"84,939", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 24, Highway: 35",19VDE1F59FE006352,FE006352A,4,2024-01-31 16:38:06.608542
24013100,fort-worth-tx,acura,Freeman Hyundai Mazda Service,"Irving, TX

   
(24.69 miles)",https://driverbase.com/vehicle/21987025/2022-acura-rdx-in-irving-tx/5J8TC1H34NL000602,https://content.homenetiol.com/2002457/2170371/640x480/90d7836d62fc4e0196e356f743189110.jpg,fort_worth_tx_acura/2022_ACURA_RDX_Base5J8TC1H34NL000602NL000602A.jpg,2022 ACURA RDX Base,Preowned,30350,"40,258", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 28",5J8TC1H34NL000602,NL000602A,4,2024-01-31 16:38:19.079772
24013101,fort-worth-tx,acura,Honda of Weatherford,"Weatherford, TX

    
(27.85 miles)",https://driverbase.com/vehicle/20551864/2016-acura-tlx-in-weatherford-tx/19UUB2F55GA001452,https://content.homenetiol.com/2002457/2170371/640x480/stock_images/5/2016ACC180001_640/2016ACC180001_640_01.jpg,fort_worth_tx_acura/2016_ACURA_TLX_V6_Tech19UUB2F55GA001452HG2221.jpg,2016 ACURA TLX V6 Tech,Preowned,17986,"104,280", 3.5 L 6 Cylinders, Automatic  FWD," MPG: City 21, Highway: 34",19UUB2F55GA001452,HG2221,5,2024-01-31 16:38:30.910676
24013100,fort-worth-tx,acura,Honda of Weatherford,"Weatherford, TX

    
(27.85 miles)",https://driverbase.com/vehicle/21805132/2019-acura-rdx-in-weatherford-tx/5J8TC2H34KL034833,https://content.homenetiol.com/2002457/2170371/640x480/3cb0d96288af4a14b90927fcf9e4084d.jpg,fort_worth_tx_acura/2019_ACURA_RDX_5J8TC2H34KL034833HP2288A.jpg,2019 ACURA RDX ,Preowned,29990,"37,141", 2.0 lL 4 Cylinders, automatic  awd," MPG: City 21, Highway: 27",5J8TC2H34KL034833,HP2288A,5,2024-01-31 16:38:43.214426
24013101,fort-worth-tx,acura,James Wood Buick GMC Denton,"Denton, TX

    
(28.89 miles)",https://driverbase.com/vehicle/21684563/2020-acura-rdx-in-denton-tx/5J8TC1H60LL003357,https://content.homenetiol.com/2002457/2170371/640x480/fb909dddf8f44d37a7d9bc3771fd4360.jpg,fort_worth_tx_acura/2020_ACURA_RDX_w_A-Spec_Pkg5J8TC1H60LL003357232933A1.jpg,2020 ACURA RDX w/A-Spec Pkg,Preowned,30977,"33,374", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H60LL003357,232933A1,5,2024-01-31 16:38:55.470036
