dealer_id,city,make,dealer_name,dealer_address,details_url,img_url,local_img_url,title,type,price,miles,engine_details,transmission,mileage,vin,stock,star,created_at
24013100,houston-tx,acura,Helfman Dodge Chrysler Jeep RAM Fiat,"Houston, TX

    
(3.03 miles)",https://driverbase.com/vehicle/22246879/2015-acura-mdx-in-houston-tx/5FRYD3H47FB008282,https://cdn.getauto.com/photos/8/160728/1c/5FRYD3H47FB008282-1c.jpg,houston_tx_acura/2015_ACURA_MDX_Tech_Pkg5FRYD3H47FB00828229552.jpg,2015 ACURA MDX Tech Pkg,Preowned,19445,"44,858", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 28",5FRYD3H47FB008282,29552,5,2024-01-31 17:19:03.929654
24013101,houston-tx,acura,Mike Calvert Toyota,"Houston, TX

   
(6.95 miles)",https://driverbase.com/vehicle/22354095/2007-acura-tsx-in-houston-tx/JH4CL968X7C005302,https://content.homenetiol.com/2002457/2170371/640x480/stock_images/2/10019.jpg,houston_tx_acura/2007_ACURA_TSX_BaseJH4CL968X7C005302241625A.jpg,2007 ACURA TSX Base,Preowned,7991,"160,260", 2.4L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 31",JH4CL968X7C005302,241625A,4,2024-01-31 17:19:16.995585
24013100,houston-tx,acura,Mike Calvert Toyota,"Houston, TX

   
(6.95 miles)",https://driverbase.com/vehicle/22458995/2015-acura-tlx-in-houston-tx/19UUB3F74FA002372,https://content.homenetiol.com/2002457/2170371/640x480/stock_images/5/2015ACC18_640/2015ACC180059_640_02.jpg,houston_tx_acura/2015_ACURA_TLX_V6_Advance19UUB3F74FA002372241587A.jpg,2015 ACURA TLX V6 Advance,Preowned,15991,"89,907", 3.5 L 6 Cylinders, Automatic  AWD," MPG: City 21, Highway: 31",19UUB3F74FA002372,241587A,4,2024-01-31 17:19:30.258400
24013101,houston-tx,acura,Classic Chevrolet Houston,"Houston, TX

    
(7.06 miles)",https://driverbase.com/vehicle/22133269/2022-acura-tlx-in-houston-tx/19UUB5F33NA005156,https://cdn.getauto.com/photos/0/244860/1c/19UUB5F33NA005156-1c.jpg,houston_tx_acura/2022_ACURA_TLX_BASE19UUB5F33NA005156V50008A.jpg,2022 ACURA TLX BASE,Preowned,29891,"17,537", 2.0L 2.0L Turbo I4 272hp 280ft Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City 22, Highway: 31",19UUB5F33NA005156,V50008A,5,2024-01-31 17:19:45.755344
24013101,houston-tx,acura,Mac Haik Ford,"Houston, TX

   
(7.96 miles)",https://driverbase.com/vehicle/22013743/2019-acura-rdx-in-houston-tx/5J8TC1H67KL011857,https://content.homenetiol.com/2002457/2170371/640x480/b7aed52675dc41079ecf535e780126fc.jpg,houston_tx_acura/2019_ACURA_RDX_w_A-Spec_Pkg5J8TC1H67KL011857B14323.jpg,2019 ACURA RDX w/A-Spec Pkg,Preowned,24432,"89,062", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H67KL011857,B14323,4,2024-01-31 17:19:58.949396
24013100,houston-tx,acura,Mac Haik Ford,"Houston, TX

   
(7.96 miles)",https://driverbase.com/vehicle/22314818/2019-acura-tlx-in-houston-tx/19UUB2F46KA001850,https://content.homenetiol.com/2002457/2170371/640x480/fcc35d7429ce42a4aa98e242fdc42162.jpg,houston_tx_acura/2019_ACURA_TLX_with_Technology_Pkg19UUB2F46KA001850PP3231A.jpg,2019 ACURA TLX with Technology Pkg,Preowned,22987,"75,471", 3.5 L 6 Cylinders, Automatic  FWD," MPG: City 20, Highway: 31",19UUB2F46KA001850,PP3231A,4,2024-01-31 17:20:11.577755
24013101,houston-tx,acura,West Point Lincoln,"Houston, TX

    
(10.18 miles)",https://driverbase.com/vehicle/22210813/2020-acura-rlx-in-houston-tx/JH4KC1F51LC000339,https://cdn.getauto.com/photos/3/234213/1c/JH4KC1F51LC000339-1c.jpg,houston_tx_acura/2020_ACURA_RLX_w_TechJH4KC1F51LC0003393N267C.jpg,2020 ACURA RLX w/Tech,Preowned,30991,"37,670", 3.5L 6 Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 29",JH4KC1F51LC000339,3N267C,5,2024-01-31 17:20:24.056730
24013101,houston-tx,acura,Mac Haik Chevrolet,"Houston, TX

    
(10.30 miles)",https://driverbase.com/vehicle/22144182/2015-acura-tlx-in-houston-tx/19UUB1F53FA005458,https://content.homenetiol.com/2002457/2170371/640x480/ea99a7d062ff4d96a81044d6382ece2e.jpg,houston_tx_acura/2015_ACURA_TLX_TECH19UUB1F53FA005458241194B.jpg,2015 ACURA TLX TECH,Preowned,12994,"126,814", 2.4 lL 4 Cylinders, automatic  fwd," MPG: City 24, Highway: 35",19UUB1F53FA005458,241194B,5,2024-01-31 17:20:35.788503
24013100,houston-tx,acura,Mac Haik Chevrolet,"Houston, TX

    
(10.30 miles)",https://driverbase.com/vehicle/21892622/2023-acura-rdx-in-houston-tx/5J8TC2H87PL007287,https://content.homenetiol.com/2002457/2170371/640x480/ab6d188c316e4de599d60958124d5d5c.jpg,houston_tx_acura/2023_ACURA_RDX_with_A-Spec_Advance_Package5J8TC2H87PL007287D13729.jpg,2023 ACURA RDX with A-Spec Advance Package,Preowned,42497,"14,076", 2.0 L 4 Cylinders, Automatic  AWD," MPG: City 21, Highway: 26",5J8TC2H87PL007287,D13729,5,2024-01-31 17:20:47.670411
24013100,houston-tx,acura,Mac Haik Chevrolet,"Houston, TX

    
(10.30 miles)",https://driverbase.com/vehicle/22312954/2019-acura-tlx-in-houston-tx/19UUB3F86KA002358,https://content.homenetiol.com/2002457/2170371/640x480/f77ce40a27114a3eb2f29d858317e305.jpg,houston_tx_acura/2019_ACURA_TLX_with_Advance_Pkg19UUB3F86KA002358P13871.jpg,2019 ACURA TLX with Advance Pkg,Preowned,30393,"15,982", 3.5 L 6 Cylinders, Automatic  AWD," MPG: City 20, Highway: 29",19UUB3F86KA002358,P13871,5,2024-01-31 17:20:59.350252
