dealer_id,city,make,dealer_name,dealer_address,details_url,img_url,local_img_url,title,type,price,miles,engine_details,transmission,mileage,vin,stock,star,created_at
24013100,lewisville-tx,acura,Ewing Buick GMC,"Plano, TX

    
(4.80 miles)",https://driverbase.com/vehicle/22416883/2023-acura-mdx-in-plano-tx/5J8YE1H01PL035977,http://vehicle-photos-published.vauto.com/97/56/60/11-3861-4504-a9d3-1b025188756d/image-1.jpg,lewisville_tx_acura/2023_ACURA_MDX_A-Spec5J8YE1H01PL035977PL035977.jpg,2023 ACURA MDX A-Spec,Preowned,49494,"9,801", 3.5L 6 Cylinders, Automatic  AWD," MPG: City 19, Highway: 25",5J8YE1H01PL035977,PL035977,5,2024-01-31 17:10:27.057332
24013101,lewisville-tx,acura,Mercedes-Benz of Plano,"Plano, TX

    
(4.87 miles)",https://driverbase.com/vehicle/22341362/2017-acura-mdx-in-plano-tx/5FRYD4H86HB025098,http://vehicle-photos-published.vauto.com/5f/2e/d6/c5-0ee6-424a-a0d0-93843bcb8f4e/image-1.jpg,lewisville_tx_acura/2017_ACURA_MDX_3.5L5FRYD4H86HB025098BHB025098.jpg,2017 ACURA MDX 3.5L,Preowned,28500,"40,460", 3.5L 6 Cylinders, Automatic  AWD," MPG: City 19, Highway: 26",5FRYD4H86HB025098,BHB025098,5,2024-01-31 17:10:38.177533
24013101,lewisville-tx,acura,Ewing Subaru of Plano,"Plano, TX

    
(6.11 miles)",https://driverbase.com/vehicle/22368645/2019-acura-rdx-in-plano-tx/5J8TC2H32KL041943,http://vehicle-photos-published.vauto.com/7a/7a/47/0f-73b2-4410-a7fb-3fb56038d4e3/image-1.jpg,lewisville_tx_acura/2019_ACURA_RDX_Base5J8TC2H32KL041943KL041943.jpg,2019 ACURA RDX Base,Preowned,26864,"59,253", 2L 4 Cylinders, Automatic  AWD," MPG: City 21, Highway: 27",5J8TC2H32KL041943,KL041943,5,2024-01-31 17:10:51.258442
24013101,lewisville-tx,acura,James Wood Buick GMC Denton,"Denton, TX

    
(11.95 miles)",https://driverbase.com/vehicle/21982451/2022-acura-mdx-type-s-in-denton-tx/5J8YD8H87NL005218,https://content.homenetiol.com/2002457/2170371/640x480/b1ccd645d46142728ef8dbc0988ed775.jpg,lewisville_tx_acura/2022_ACURA_MDX_Type_S_Type_S_w_Advance_Package5J8YD8H87NL005218241248A1.jpg,2022 ACURA MDX Type S Type S w/Advance Package,Preowned,55977,"30,473", 3.0 L 6 Cylinders, Automatic  AWD," MPG: City 17, Highway: 21",5J8YD8H87NL005218,241248A1,5,2024-01-31 17:11:04.391045
24013100,lewisville-tx,acura,James Wood Buick GMC Denton,"Denton, TX

    
(11.95 miles)",https://driverbase.com/vehicle/21684563/2020-acura-rdx-in-denton-tx/5J8TC1H60LL003357,https://content.homenetiol.com/2002457/2170371/640x480/fb909dddf8f44d37a7d9bc3771fd4360.jpg,lewisville_tx_acura/2020_ACURA_RDX_w_A-Spec_Pkg5J8TC1H60LL003357232933A1.jpg,2020 ACURA RDX w/A-Spec Pkg,Preowned,30977,"33,374", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H60LL003357,232933A1,5,2024-01-31 17:11:16.140537
24013101,lewisville-tx,acura,Eckert Hyundai Pre-Owned,"Denton, TX

    
(12.09 miles)",https://driverbase.com/vehicle/21501219/2021-acura-tlx-in-denton-tx/19UUB5F5XMA005154,https://cdn.getauto.com/photos/1/84171/1c/19UUB5F5XMA005154-1c.jpg,lewisville_tx_acura/2021_ACURA_TLX_w_A-Spec19UUB5F5XMA0051546067A.jpg,2021 ACURA TLX w/A-Spec,Preowned,30312,"44,118", 0.0L 2.0L Turbo I4 272hp 280ft Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City , Highway: ",19UUB5F5XMA005154,6067A,5,2024-01-31 17:11:28.083722
24013101,lewisville-tx,acura,Town North Mazda,"Richardson, TX

    
(13.59 miles)",https://driverbase.com/vehicle/22411465/2024-acura-integra-in-richardson-tx/19UDE4H6XRA000485,https://cdn.getauto.com/photos/8/20098/1c/19UDE4H6XRA000485-1c.jpg,lewisville_tx_acura/2024_ACURA_Integra_w_Tech_w_A-SPEC19UDE4H6XRA000485583932.jpg,2024 ACURA Integra w/Tech w/A-SPEC,Preowned,32950,"11,633", 1.5L 1.5L Turbo I4 200hp 192ft Cylinders, 7-Speed Shiftable CVT  FWD," MPG: City 29, Highway: 36",19UDE4H6XRA000485,583932,5,2024-01-31 17:11:39.895161
24013101,lewisville-tx,acura,Classic Chevrolet,"Grapevine, TX

    
(14.92 miles)",https://driverbase.com/vehicle/21871513/2017-acura-rlx-in-grapevine-tx/JH4KC1F58HC000877,https://cdn.getauto.com/photos/0/17300/1c/JH4KC1F58HC000877-1c.jpg,lewisville_tx_acura/2017_ACURA_RLX_w_TechJH4KC1F58HC000877HC000877.jpg,2017 ACURA RLX w/Tech,Preowned,27000,"30,583", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 30",JH4KC1F58HC000877,HC000877,5,2024-01-31 17:11:53.331498
24013100,lewisville-tx,acura,Classic Chevrolet,"Grapevine, TX

    
(14.92 miles)",https://driverbase.com/vehicle/22162682/2020-acura-rdx-in-grapevine-tx/5J8TC1H39LL022009,https://cdn.getauto.com/photos/0/17300/1c/5J8TC1H39LL022009-1c.jpg,lewisville_tx_acura/2020_ACURA_RDX_Base5J8TC1H39LL022009LL022009.jpg,2020 ACURA RDX Base,Preowned,29000,"24,210", 2.0L 4 Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City 22, Highway: 28",5J8TC1H39LL022009,LL022009,5,2024-01-31 17:12:06.956812
24013100,lewisville-tx,acura,Classic Chevrolet,"Grapevine, TX

    
(14.92 miles)",https://driverbase.com/vehicle/22301520/2018-acura-rdx-in-grapevine-tx/5J8TB3H37JL011439,https://cdn.getauto.com/photos/0/17300/1c/5J8TB3H37JL011439-1c.jpg,lewisville_tx_acura/2018_ACURA_RDX_Base5J8TB3H37JL011439JL011439.jpg,2018 ACURA RDX Base,Preowned,20000,"67,280", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 28",5J8TB3H37JL011439,JL011439,5,2024-01-31 17:12:19.041407
24013101,lewisville-tx,acura,Freeman Hyundai Mazda Service,"Irving, TX

   
(16.79 miles)",https://driverbase.com/vehicle/21987025/2022-acura-rdx-in-irving-tx/5J8TC1H34NL000602,https://content.homenetiol.com/2002457/2170371/640x480/90d7836d62fc4e0196e356f743189110.jpg,lewisville_tx_acura/2022_ACURA_RDX_Base5J8TC1H34NL000602NL000602A.jpg,2022 ACURA RDX Base,Preowned,30350,"40,258", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 28",5J8TC1H34NL000602,NL000602A,4,2024-01-31 17:12:31.689511
24013100,lewisville-tx,acura,Freeman Hyundai Mazda Service,"Irving, TX

   
(16.79 miles)",https://driverbase.com/vehicle/22025390/2022-acura-rdx-in-irving-tx/5J8TC1H63NL005252,https://content.homenetiol.com/2002457/2170371/640x480/4bc1aabaa1a5492f83c4f704e885ed80.jpg,lewisville_tx_acura/2022_ACURA_RDX_w_A-Spec_Package5J8TC1H63NL005252NL005252A.jpg,2022 ACURA RDX w/A-Spec Package,Preowned,37950,"24,884", 2.0 L 4 Cylinders, Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H63NL005252,NL005252A,4,2024-01-31 17:12:43.453772
